Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
menuItem,Alcohol,Drafts,10oz The Dare (Gose),,,Beer - Draft,[],2.0,4.50,4.50,9.0,0.0,0.0,6.0,9.0,0.63,0.0,0.0
menuItem,Alcohol,Drafts,10oz Brevity WIt,,,Beer - Draft,[],2.0,6.00,6.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Alcohol,Drafts,10 oz Goose Guice,,,Beer - Draft,[],1.0,7.00,7.00,7.0,0.0,0.0,0.0,7.0,0.49,0.0,0.0
menuItem,Alcohol,Drafts,10 oz The Finest Lager,,,Beer - Draft,[],1.0,3.00,3.00,3.0,0.0,0.0,0.0,3.0,0.21,0.0,0.0
menuItem,Alcohol,Drafts,10oz 80 Shilling,,,Beer - Draft,[],2.0,4.50,4.50,9.0,0.0,0.0,0.0,9.0,0.63,0.0,0.0
menuItem,Alcohol,Drafts,10oz Oktoberfest,,,Beer - Draft,[],4.0,3.75,3.75,15.0,0.0,0.0,0.0,15.0,0.42,0.0,0.0
menuItem,Alcohol,Drafts,10 oz Indian Ladder Cider,,,Beer - Draft,[],2.0,6.00,6.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Alcohol,Drafts,Pucker Pop,,,Beer - Draft,[],14.0,7.29,7.29,102.0,0.0,0.0,18.0,102.0,6.3,0.0,0.0
"",Alcohol,Gin Doubles,,,,,,9.0,17.78,,160.0,0.0,0.0,0.0,160.0,9.94,0.0,0.0
menuItem,Alcohol,Gin Doubles,Four Gin DBL,,,Liquor,[],1.0,18.00,18.00,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
modifier,Alcohol,Gin Doubles,Four Gin DBL,,Tonic,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Gin Doubles,Four Gin DBL,,LIME,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Gin Doubles,Hendricks DBL,,,Liquor,[],8.0,17.75,17.75,142.0,0.0,0.0,0.0,142.0,8.68,0.0,0.0
modifier,Alcohol,Gin Doubles,Hendricks DBL,,Tonic,,[],3.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Gin Doubles,Hendricks DBL,,LIME,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Gin Doubles,Hendricks DBL,,Ex Lime,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",Alcohol,Gin,,,,,,41.0,10.54,,432.0,0.0,0.0,0.0,432.0,28.00,0.0,0.0
menuItem,Alcohol,Gin,Well Gin,,,Liquor,[],10.0,7.40,7.40,74.0,0.0,0.0,0.0,74.0,4.34,0.0,0.0
modifier,Alcohol,Gin,Well Gin,,Tonic,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Gin,Well Gin,,Tonic,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Gin,Hendricks,,,Liquor,[],18.0,11.33,11.33,204.0,0.0,0.0,0.0,204.0,13.58,0.0,0.0
modifier,Alcohol,Gin,Hendricks,,Tonic,,[],5.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Gin,Hendricks,,LIME,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
