Type,Menu,Menu group,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Item tags,Qty sold,Avg. price,Avg. item price (not incl. mods),Gross sales,Discount amount,Refund amount,Void amount,Net sales,Tax,Waste count,Waste amount
specialRequest,Alcohol,Druthers Cocktails,Peanut Butter Espresso Martini,,Add Crumbles To Top Of Drink,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Peanut Butter Espresso Martini,,No Choco Rim,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Druthers Shandy,,,Liquor,[],3.0,9.00,9.00,27.0,0.0,0.0,0.0,27.0,1.89,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Beermosa,,,Liquor,[],2.0,10.00,10.00,20.0,0.0,0.0,0.0,20.0,1.4,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Long Island Iced Tea,,,Liquor,[],5.0,15.00,15.00,75.0,0.0,0.0,0.0,75.0,4.2,0.0,0.0
menuItem,Alcohol,Druthers Cocktails,Espresso Martini,,,Liquor,[],11.0,13.18,13.00,145.0,0.0,0.0,0.0,145.0,8.33,0.0,0.0
specialRequest,Alcohol,Druthers Cocktails,Espresso Martini,,Add Splash Of Baileys,,[],2.0,1.00,1.00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"",Alcohol,Classic Cocktails,,,,,,1.0,16.00,,16.0,0.0,0.0,0.0,16.0,1.12,0.0,0.0
menuItem,Alcohol,Classic Cocktails,Old Fashion,,,Liquor,[],1.0,16.00,13.00,16.0,0.0,0.0,0.0,16.0,1.12,0.0,0.0
modifier,Alcohol,Classic Cocktails,Old Fashion,,Springbrook Bourbon,,[],1.0,3.00,3.00,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"",Alcohol,Seltzer/Canned Cocktails,,,,,,6.0,10.00,,60.0,0.0,0.0,0.0,60.0,4.2,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) Surfside Strawberry Lemonade,,,Guest Taps,[],2.0,10.00,10.00,20.0,0.0,0.0,0.0,20.0,1.4,0.0,0.0
specialRequest,Alcohol,Seltzer/Canned Cocktails,(Can) Surfside Strawberry Lemonade,,With Glass,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Seltzer/Canned Cocktails,(Can) Surfside Tea & Lemonade,,,Guest Taps,[],4.0,10.00,10.00,40.0,0.0,0.0,0.0,40.0,2.8,0.0,0.0
"",Alcohol,Cans,,,,,,46.0,9.09,,418.0,0.0,0.0,17.0,418.0,27.34,0.0,0.0
menuItem,Alcohol,Cans,(Can) Cran Apple Blonde,,,Beer - Draft,[],13.0,9.50,9.50,123.5,0.0,0.0,0.0,123.5,7.26,0.0,0.0
menuItem,Alcohol,Cans,(Can) Playa,,,Beer - Draft,[],9.0,8.50,8.50,76.5,0.0,0.0,0.0,76.5,4.8,0.0,0.0
menuItem,Alcohol,Cans,(Can) Brevity Wit,,,Beer - Draft,[],5.0,8.50,8.50,42.5,0.0,0.0,17.0,42.5,3.0,0.0,0.0
menuItem,Alcohol,Cans,(Can) Lakeside Lounging,,,Beer - Draft,[],4.0,9.50,9.50,38.0,0.0,0.0,0.0,38.0,2.64,0.0,0.0
menuItem,Alcohol,Cans,(Can) Peach Apricot Dare,,,Beer - Draft,[],4.0,9.50,9.50,38.0,0.0,0.0,0.0,38.0,2.64,0.0,0.0
menuItem,Alcohol,Cans,(Can) Oktoberfest,,,Beer - Draft,[],3.0,8.50,8.50,25.5,0.0,0.0,0.0,25.5,1.8,0.0,0.0
menuItem,Alcohol,Cans,(Can) Triple the Reason,,,Beer - Draft,[],2.0,11.50,11.50,23.0,0.0,0.0,0.0,23.0,1.6,0.0,0.0
menuItem,Alcohol,Cans,(Can) Saratoga Vibes,,,Beer - Draft,[],6.0,8.50,8.50,51.0,0.0,0.0,0.0,51.0,3.6,0.0,0.0
"",Alcohol,Drafts,,,,,,209.0,8.26,,1726.0,0.0,0.0,72.0,1726.0,114.52,0.0,0.0
menuItem,Alcohol,Drafts,Beer Flight,,,Beer - Draft,[],5.0,17.00,5.00,85.0,0.0,0.0,0.0,85.0,5.95,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Golden Rule,,[],5.0,2.00,2.00,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,80 Shilling,,[],3.0,2.00,2.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,All-In IPA,,[],1.0,2.00,2.00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Uncurious,,[],3.0,2.00,2.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Czech Pilsner,,[],4.0,2.00,2.00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Passion Fruit White Ale,,[],4.0,2.00,2.00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Oatmeal Stout,,[],2.0,2.00,2.00,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,The Dare,,[],4.0,2.00,2.00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Beer Flight,,Silky Smooth NE IPA,,[],4.0,2.00,2.00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,Taste,,,Beer - Draft,[],7.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Golden Rule Blonde,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,NO Cider,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Uncurious,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Passion Fruit White Ale,,[],3.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Drafts,Taste,,Silky Smooth NE IPA,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,Golden Rule,,,Beer - Draft,[],34.0,8.00,8.00,272.0,0.0,0.0,72.0,272.0,17.92,0.0,0.0
menuItem,Alcohol,Drafts,Czech Pilsner,,,Beer - Draft,[],25.0,8.00,8.00,200.0,0.0,0.0,0.0,200.0,14.0,0.0,0.0
menuItem,Alcohol,Drafts,Silky Smooth NE IPA,,,Beer - Draft,[],28.0,9.00,9.00,252.0,0.0,0.0,0.0,252.0,17.64,0.0,0.0
menuItem,Alcohol,Drafts,Uncurious,,,Beer - Draft,[],29.0,9.00,9.00,261.0,0.0,0.0,0.0,261.0,18.27,0.0,0.0
modifier,Alcohol,Drafts,Uncurious,,"!!! DONT MAKE !!!",,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menuItem,Alcohol,Drafts,All-in IPA,,,Beer - Draft,[],18.0,8.00,8.00,144.0,0.0,0.0,0.0,144.0,8.96,0.0,0.0
menuItem,Alcohol,Drafts,The Dare (Gose),,,Beer - Draft,[],11.0,8.00,8.00,88.0,0.0,0.0,0.0,88.0,6.16,0.0,0.0
menuItem,Alcohol,Drafts,Passion Fruit White Ale,,,Beer - Draft,[],9.0,9.00,9.00,81.0,0.0,0.0,0.0,81.0,4.41,0.0,0.0
menuItem,Alcohol,Drafts,80 Shilling,,,Beer - Draft,[],11.0,8.00,8.00,88.0,0.0,0.0,0.0,88.0,6.16,0.0,0.0
menuItem,Alcohol,Drafts,Oatmeal Stout,,,Beer - Draft,[],18.0,8.00,8.00,144.0,0.0,0.0,0.0,144.0,7.28,0.0,0.0
menuItem,Alcohol,Drafts,Indian Ladder Cider,,,Beer - Draft,[],13.0,8.00,8.00,104.0,0.0,0.0,0.0,104.0,7.28,0.0,0.0
menuItem,Alcohol,Drafts,10 oz Uncurious,,,Beer - Draft,[],1.0,7.00,7.00,7.0,0.0,0.0,0.0,7.0,0.49,0.0,0.0
"",Alcohol,Gin Doubles,,,,,,1.0,18.00,,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
menuItem,Alcohol,Gin Doubles,Hendricks DBL,,,Liquor,[],1.0,18.00,18.00,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
modifier,Alcohol,Gin Doubles,Hendricks DBL,,Tonic,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",Alcohol,Gin,,,,,,1.0,8.00,,8.0,0.0,0.0,0.0,8.0,0.56,0.0,0.0
menuItem,Alcohol,Gin,Well Gin,,,Liquor,[],1.0,8.00,8.00,8.0,0.0,0.0,0.0,8.0,0.56,0.0,0.0
modifier,Alcohol,Gin,Well Gin,,Tonic,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",Alcohol,Mug Club- MC,,,,,,12.0,8.00,,96.0,0.0,0.0,0.0,96.0,6.72,0.0,0.0
menuItem,Alcohol,Mug Club- MC,Golden Rule Blonde- MC,,,Beer - Draft,[],3.0,8.00,8.00,24.0,0.0,0.0,0.0,24.0,1.68,0.0,0.0
menuItem,Alcohol,Mug Club- MC,All-In IPA- MC,,,Beer - Draft,[],3.0,8.00,8.00,24.0,0.0,0.0,0.0,24.0,1.68,0.0,0.0
menuItem,Alcohol,Mug Club- MC,The Dare- MC,,,Beer - Draft,[],6.0,8.00,8.00,48.0,0.0,0.0,0.0,48.0,3.36,0.0,0.0
"",Alcohol,Tequila,,,,,,3.0,14.00,,42.0,0.0,0.0,0.0,42.0,2.94,0.0,0.0
menuItem,Alcohol,Tequila,One With Life Tequila,,,Liquor,[],3.0,14.00,12.00,42.0,0.0,0.0,0.0,42.0,2.94,0.0,0.0
modifier,Alcohol,Tequila,One With Life Tequila,,Margarita,,[],3.0,2.00,2.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"",Alcohol,Vodka Doubles,,,,,,3.0,15.33,,46.0,0.0,0.0,0.0,46.0,3.22,0.0,0.0
menuItem,Alcohol,Vodka Doubles,Well Vodka DBL,,,Liquor,[],1.0,12.00,12.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
menuItem,Alcohol,Vodka Doubles,Titos DBL,,,Liquor,[],1.0,16.00,15.00,16.0,0.0,0.0,0.0,16.0,1.12,0.0,0.0
specialRequest,Alcohol,Vodka Doubles,Titos DBL,,Straight Up Dirty Martini,,[],1.0,1.00,1.00,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
menuItem,Alcohol,Vodka Doubles,Ketel One DBL,,,Liquor,[],1.0,18.00,18.00,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
specialRequest,Alcohol,Vodka Doubles,Ketel One DBL,,3 Lemons,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Vodka Doubles,Ketel One DBL,,Side Cranberry Juice,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
specialRequest,Alcohol,Vodka Doubles,Ketel One DBL,,Straight Up Martini,,[],1.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"",Alcohol,Vodka,,,,,,16.0,10.75,,172.0,0.0,0.0,0.0,172.0,11.34,0.0,0.0
menuItem,Alcohol,Vodka,Well Vodka,,,Liquor,[],2.0,9.00,8.00,18.0,0.0,0.0,0.0,18.0,1.26,0.0,0.0
modifier,Alcohol,Vodka,Well Vodka,,Bloody Mary,,[],1.0,2.00,2.00,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
menuItem,Alcohol,Vodka,Titos,,,Liquor,[],14.0,11.00,10.00,154.0,0.0,0.0,0.0,154.0,10.08,0.0,0.0
modifier,Alcohol,Vodka,Titos,,Club Soda,,[],2.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modifier,Alcohol,Vodka,Titos,,Bloody Mary,,[],4.0,2.00,2.00,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
modifier,Alcohol,Vodka,Titos,,Cosmopolitan,,[],3.0,2.00,2.00,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"",Alcohol,Whiskey,,,,,,4.0,10.50,,42.0,0.0,0.0,0.0,42.0,2.94,0.0,0.0
menuItem,Alcohol,Whiskey,Jameson,,,Liquor,[],3.0,10.00,10.00,30.0,0.0,0.0,0.0,30.0,2.1,0.0,0.0
menuItem,Alcohol,Whiskey,Knob Creek Maple,,,Liquor,[],1.0,12.00,12.00,12.0,0.0,0.0,0.0,12.0,0.84,0.0,0.0
"",Alcohol,Wine by the Bottle,,,,,,2.0,35.00,,70.0,0.0,0.0,0.0,70.0,4.9,0.0,0.0
menuItem,Alcohol,Wine by the Bottle,14 Hands Red Blend (bottle),,,Wine,[],2.0,35.00,35.00,70.0,0.0,0.0,0.0,70.0,4.9,0.0,0.0
"",Alcohol,Wine by the Glass,,,,,,33.0,10.27,,339.0,0.0,0.0,0.0,339.0,23.10,0.0,0.0
menuItem,Alcohol,Wine by the Glass,Glass- Saddlebred Pinot Noir,,,Wine,[],1.0,9.00,9.00,9.0,0.0,0.0,0.0,9.0,0.63,0.0,0.0
menuItem,Alcohol,Wine by the Glass,Glass- 14 Hands Red Blend,,,Wine,[],1.0,10.00,10.00,10.0,0.0,0.0,0.0,10.0,0.7,0.0,0.0
menuItem,Alcohol,Wine by the Glass,Glass- Replica Cabernet Sauvignon,,,Wine,[],14.0,10.00,10.00,140.0,0.0,0.0,0.0,140.0,9.8,0.0,0.0
menuItem,Alcohol,Wine by the Glass,Glass- Cavazza Prosecco,,,Wine,[],3.0,12.00,12.00,36.0,0.0,0.0,0.0,36.0,2.52,0.0,0.0
menuItem,Alcohol,Wine by the Glass,Glass- Cavazza Pinot Grigio,,,Wine,[],4.0,9.00,9.00,36.0,0.0,0.0,0.0,36.0,1.89,0.0,0.0
